Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Developer,Rating,Critic_Score
PSP,2006,Strategy,Vivendi Games,0.15,0,0,0.01,0.16,Radical Entertainment,M,58
X360,2007,Racing,THQ,0.13,0,0,0.01,0.14,Rainbow Studios,E,58
PS2,2001,Platform,TDK Mediactive,0.07,0.05,0,0.02,0.14,Lucky Chicken,E,58
GBA,2002,Action,THQ,0.1,0.04,0,0,0.14,HotGen,T,58
X360,2010,Action,Activision,0.11,0.02,0,0.01,0.14,Etranges Libellules,E10+,58
GBA,2002,Role-Playing,Atari,0.03,0.01,0.09,0,0.14,Next Entertainment,E,58
PSP,2006,Sports,Electronic Arts,0.07,0.05,0,0.02,0.13,EA Canada,E,58
DS,2008,Role-Playing,Tecmo Koei,0.08,0,0.05,0.01,0.13,Cing,E,58
PS2,2005,Role-Playing,Ubisoft,0.06,0.05,0,0.02,0.13,Cavia Inc.,M,58
PS2,2001,Racing,Electronic Arts,0.06,0.05,0,0.02,0.13,Attention Software,E,58
X360,2013,Shooter,Capcom,0.07,0.03,0.01,0.01,0.12,Spark Unlimited,T,58
DS,2005,Shooter,Electronic Arts,0.1,0,0,0.01,0.11,"EA Tiburon, n-Space",T,58
PS3,2010,Sports,O-Games,0.09,0.01,0,0.01,0.11,Gusto Games,E,58
3DS,2011,Sports,Namco Bandai Games,0.05,0.05,0,0.01,0.11,Indies Zero,E10+,58
PS2,2005,Action,SCi,0.05,0.04,0,0.01,0.11,Bits Studios,M,58
XB,2002,Sports,Acclaim Entertainment,0.08,0.02,0,0,0.11,"Z-Axis, Ltd.",M,58
PSP,2007,Sports,Ubisoft,0.01,0.09,0,0.01,0.1,Ubisoft,T,58
GBA,2002,Racing,Ubisoft,0.07,0.03,0,0,0.1,UDS,E,58
PS2,2002,Shooter,Virgin Interactive,0.05,0.04,0,0.01,0.1,Digital Mayhem,M,58
PS2,2005,Role-Playing,Tecmo Koei,0.02,0.02,0.05,0.01,0.1,Tecmo,E10+,58
3DS,2011,Fighting,Deep Silver,0.07,0.02,0,0.01,0.1,Papaya Studios,E10+,58
Wii,2007,Action,Game Factory,0.07,0.01,0,0.01,0.09,The Game Factory,E10+,58
PS2,2003,Sports,Atari,0.05,0.04,0,0.01,0.09,Bandai,E,58
XB,2004,Misc,Atari,0.07,0.02,0,0,0.09,Artech Studios,T,58
DS,2005,Role-Playing,Empire Interactive,0.05,0,0.04,0,0.09,Natsume,T,58
3DS,2015,Action,Nintendo,0,0.01,0.08,0,0.09,"Ambrella, The Pokemon Company",E10+,58
XB,2004,Racing,Take-Two Interactive,0.07,0.02,0,0,0.09,Razorworks Studios,E,58
PS2,2004,Action,505 Games,0.04,0.03,0,0.01,0.08,Acquire,M,58
PC,2012,Role-Playing,Focus Home Interactive,0,0.07,0,0.01,0.08,"Cyanide, Cyanide Studios",M,58
DS,2009,Puzzle,Codemasters,0.07,0,0,0.01,0.07,Climax Group,E10+,58
XOne,2014,Action,Tecmo Koei,0.04,0.02,0,0.01,0.07,Koei Tecmo Games,T,58
DS,2006,Action,Eidos Interactive,0.04,0.02,0,0.01,0.07,Human Soft,T,58
PS2,2002,Fighting,Enterbrain,0.03,0.03,0,0.01,0.07,Enterbrain,T,58
DS,2007,Adventure,Konami Digital Entertainment,0.01,0.01,0.05,0,0.06,Matrix Software,E10+,58
PS2,2006,Shooter,Eidos Interactive,0.03,0.02,0,0.01,0.06,Pyro Studios,T,58
X360,2014,Action,Little Orbit,0,0.05,0,0,0.06,WayForward,E10+,58
DS,2005,Action,Konami Digital Entertainment,0.05,0,0,0,0.06,Konami,E,58
GC,2002,Racing,Activision,0.04,0.01,0,0,0.06,Stealth Studios,T,58
DS,2006,Action,Konami Digital Entertainment,0.05,0,0,0,0.05,Razorback Developments,E,58
DS,2009,Role-Playing,Graffiti,0.05,0,0,0,0.05,Studio Archcraft,E,58
WiiU,2013,Platform,Namco Bandai Games,0.03,0.01,0,0,0.05,"Namco Bandai Games, Monkey Bar Games",E10+,58
GC,2002,Sports,Sega,0.01,0,0.03,0,0.05,Amusement Vision,E,58
DS,2009,Action,Playlogic Game Factory,0.05,0,0,0,0.05,Engine Software,E10+,58
PS2,2001,Sports,Tecmo Koei,0.02,0.02,0,0.01,0.05,Cave,E,58
PSP,2006,Platform,Activision,0.05,0,0,0,0.05,Amaze Entertainment,E,58
GC,2005,Platform,Global Star,0.04,0.01,0,0,0.05,High Voltage Software,E10+,58
GBA,2002,Fighting,Acclaim Entertainment,0.03,0.01,0,0,0.05,Full-Fat,E,58
XB,2003,Platform,SCi,0.03,0.01,0,0,0.05,UDS,T,58
DS,2008,Platform,Ubisoft,0.03,0.01,0,0,0.05,Gameloft,T,58
DS,2008,Adventure,D3Publisher,0.04,0,0,0,0.04,Art,E,58
PC,N/A,Strategy,Unknown,0,0.04,0,0,0.04,Gaslamp Games,RP,58
GBA,2005,Action,Flashpoint Games,0.03,0.01,0,0,0.04,Atlus Co.,T,58
PC,2014,Action,Konami Digital Entertainment,0.01,0.03,0,0,0.04,Mercury Steam,M,58
PC,2008,Strategy,JoWood Productions,0,0.03,0,0,0.03,Enlight Software,E,58
PSP,2006,Role-Playing,Namco Bandai Games,0.03,0,0,0,0.03,Microvision,E10+,58
DS,2007,Action,Game Factory,0.03,0,0,0,0.03,Shin'en,E,58
XB,2002,Racing,Konami Digital Entertainment,0.02,0.01,0,0,0.03,Konami,T,58
PS3,2014,Racing,Nordic Games,0.02,0.01,0,0,0.03,Nordic Games Publishing,E,58
PS4,2014,Role-Playing,Compile Heart,0,0,0.02,0,0.02,Compile Heart,T,58
GBA,2003,Action,Capcom,0.02,0.01,0,0,0.02,Klein Computer Entertainment,E,58
XB,2006,Fighting,Ignition Entertainment,0.02,0,0,0,0.02,SNK,T,58
XB,2005,Fighting,Sega,0.02,0,0,0,0.02,InterServ International,T,58
WiiU,2013,Shooter,505 Games,0,0.02,0,0,0.02,Rebellion,M,58
PSP,2007,Racing,Deep Silver,0.02,0,0,0,0.02,Eutechnyx,T,58
GBA,2001,Puzzle,Conspiracy Entertainment,0.01,0,0,0,0.02,Warthog,E,58
PC,2008,Platform,THQ,0,0.01,0,0,0.02,Heavy Iron Studios,E,58
PS2,2005,Platform,JoWood Productions,0.01,0.01,0,0,0.02,Tate Interactive,E,58
PC,2006,Misc,Ubisoft,0,0.01,0,0,0.01,Ubisoft Bulgaria,E,58
XB,2002,Puzzle,Kemco,0.01,0,0,0,0.01,HotGen,E,58
PSV,2014,Platform,Nippon Ichi Software,0,0,0.01,0,0.01,Nippon Ichi Software,T,58
PC,2008,Shooter,Eidos Interactive,0,0.01,0,0,0.01,Pivotal Games,M,58
PC,2008,Action,Activision,0.01,0,0,0,0.01,Aspyr,E10+,58
DS,2007,Misc,Nintendo,0.86,1.56,1.05,0.35,3.83,"Nintendo, Namco Bandai Games",E,59
PS3,2008,Racing,Electronic Arts,0.63,1,0.05,0.38,2.05,EA Vancouver,T,59
DS,2011,Strategy,Warner Bros. Interactive Entertainment,1.02,0.32,0,0.11,1.45,Hellbent Games,E,59
PS2,2002,Sports,Activision,0.7,0.54,0,0.18,1.42,Sand Grain Studios,T,59
3DS,2012,Role-Playing,Nintendo,0.44,0.29,0.47,0.07,1.27,"Nintendo, Spike Chunsoft",E,59
DS,2005,Simulation,Atari,0.1,0.02,1.12,0.01,1.26,NanaOn-Sha,E,59
PS2,2002,Action,Black Label Games,0.59,0.46,0,0.15,1.2,Surreal Software,T,59
DS,2009,Action,Activision,0.65,0.42,0,0.11,1.18,TT Fusion,E,59
PSP,2007,Action,Electronic Arts,0.24,0.54,0,0.3,1.07,"Electronic Arts, Rebellion",T,59
Wii,2007,Fighting,THQ,0.38,0.5,0,0.11,0.98,Yuke's,T,59
PS2,2003,Action,Konami Digital Entertainment,0.45,0.35,0,0.12,0.92,KCE Studios,E,59
GC,2006,Racing,Sega,0.71,0.18,0,0.03,0.92,Sonic Team,E,59
XB,N/A,Misc,Unknown,0.77,0.11,0,0.04,0.91,Mass Media,E,59
PSP,2005,Shooter,Konami Digital Entertainment,0.28,0.29,0,0.17,0.75,Konami,T,59
PS3,2007,Action,Tecmo Koei,0.18,0.07,0.41,0.04,0.71,"Koei, Omega Force",T,59
PSP,2007,Racing,THQ,0.35,0.18,0,0.12,0.65,Rainbow Studios,E,59
Wii,2010,Misc,Namco Bandai Games,0.47,0.08,0.01,0.04,0.61,TOSE,E10+,59
PS2,2001,Shooter,Codemasters,0.27,0.21,0,0.07,0.56,Pipe Dream Interactive,M,59
PS2,2003,Platform,Vivendi Games,0.26,0.2,0,0.07,0.54,Inevitable Entertainment,E,59
XB,2002,Action,Universal Interactive,0.31,0.19,0,0.03,0.53,WXP,T,59
X360,2012,Action,Disney Interactive Studios,0.32,0.15,0,0.04,0.51,Blitz Games Studios,E,59
Wii,2008,Sports,Sega,0.45,0.01,0,0.04,0.5,Cavia Inc.,E,59
3DS,2013,Platform,Sega,0.24,0.14,0.07,0.03,0.49,Dimps Corporation,E10+,59
PS3,2012,Action,Disney Interactive Studios,0.21,0.18,0,0.08,0.47,Blitz Games Studios,E,59
GBA,2005,Action,Ubisoft,0.33,0.12,0,0.01,0.47,Ubisoft,E10+,59
GBA,2002,Platform,Activision,0.33,0.12,0,0.01,0.46,Creations,E,59
X360,2006,Sports,Electronic Arts,0.42,0,0,0.04,0.46,EA Sports,E,59
PS3,2008,Platform,Vivendi Games,0.19,0.18,0,0.07,0.44,Etranges Libellules,E10+,59
Wii,2010,Action,Activision,0.23,0.15,0,0.04,0.42,Etranges Libellules,E10+,59
XOne,2014,Sports,Electronic Arts,0.31,0.06,0,0.04,0.41,EA Sports,E10+,59
PS2,2001,Platform,Ubisoft,0.2,0.16,0,0.05,0.41,Ubisoft,E,59
PS2,2005,Role-Playing,Midway Games,0.2,0.15,0,0.05,0.4,Midway,T,59
Wii,2011,Misc,THQ,0.35,0.02,0,0.03,0.4,WayForward,E,59
PS2,2006,Sports,Electronic Arts,0.17,0.13,0.02,0.04,0.37,EA Canada,E,59
PS3,2009,Action,Konami Digital Entertainment,0.13,0.17,0,0.06,0.36,Zombie Studios,M,59
PS2,2004,Sports,Zoo Digital Publishing,0.18,0.14,0,0.05,0.36,Activision,E,59
PS3,2010,Action,Capcom,0.18,0.12,0,0.05,0.35,Airtight Games,T,59
PS3,2013,Shooter,Trion Worlds,0.19,0.1,0,0.06,0.35,Trion Worlds,M,59
PS2,2000,Role-Playing,Ubisoft,0.1,0.08,0.15,0.03,0.35,From Software,T,59
PSP,2011,Fighting,Namco Bandai Games,0.09,0.07,0.15,0.04,0.34,Racjin,T,59
PS2,2002,Fighting,Acclaim Entertainment,0.16,0.13,0,0.04,0.33,Acclaim,T,59
PS2,2003,Action,Capcom,0.05,0.04,0.23,0.01,0.33,Acquire,M,59
PS2,2003,Platform,Konami Digital Entertainment,0.16,0.12,0,0.04,0.32,Konami,E,59
PS4,2014,Action,Square Enix,0.09,0.16,0.02,0.05,0.32,Airtight Games,M,59
PS2,2005,Sports,Electronic Arts,0.15,0.12,0,0.04,0.31,EA Canada,E,59
X360,2010,Action,Capcom,0.19,0.09,0,0.03,0.31,Airtight Games,T,59
PS2,2002,Action,Sony Computer Entertainment,0.15,0.12,0,0.04,0.31,High Voltage Software,E,59
GBA,2005,Platform,Disney Interactive Studios,0.22,0.08,0,0.01,0.3,Climax Group,E,59
DS,2006,Action,THQ,0.27,0,0,0.02,0.29,Natsume,E,59
X360,2007,Racing,Electronic Arts,0.26,0,0,0.02,0.29,EA Tiburon,E,59
X360,2009,Action,Konami Digital Entertainment,0.13,0.12,0,0.03,0.28,Zombie Studios,M,59
X360,2011,Action,Activision,0.13,0.12,0,0.03,0.28,High Moon Studios,T,59
X360,2013,Strategy,Activision,0.16,0.1,0,0.02,0.28,Exient Entertainment,E,59
PS3,2009,Misc,Activision,0.14,0.09,0,0.04,0.27,Neversoft Entertainment,T,59
DS,2008,Misc,Ubisoft,0.24,0,0,0.02,0.27,"Ubisoft, Sensory Sweep",E,59
PS3,2011,Action,Ubisoft,0.06,0.15,0,0.05,0.26,Ubisoft Montpellier,E10+,59
PS2,2002,Racing,BAM! Entertainment,0.13,0.1,0,0.03,0.26,Spike,E,59
Wii,2011,Role-Playing,Nintendo,0,0.01,0.25,0,0.26,Level 5,,59
GBA,2003,Action,Konami Digital Entertainment,0.18,0.07,0,0,0.26,Konami Computer Entertainment Hawaii,E,59
PS4,2016,Misc,Sony Computer Entertainment,0.06,0.14,0.02,0.04,0.25,Sony Interactive Entertainment,M,59
PS3,2008,Racing,Black Bean Games,0.12,0.11,0,0.02,0.25,Milestone S.r.l,E10+,59
XB,2001,Racing,Gathering of Developers,0.18,0.05,0,0.01,0.24,Terminal Reality,E,59
X360,2009,Action,Tecmo Koei,0.16,0.01,0.04,0.02,0.24,Omega Force,T,59
PS4,2014,Sports,Electronic Arts,0.16,0.04,0,0.04,0.23,EA Sports,E,59
X360,2009,Action,Tecmo Koei,0.13,0.06,0.02,0.02,0.23,Omega Force,T,59
Wii,2008,Misc,Disney Interactive Studios,0.18,0.03,0,0.02,0.23,Disney Interactive Studios,E10+,59
DS,2008,Racing,Electronic Arts,0.18,0.03,0,0.02,0.23,Firebrand Games,E10+,59
PS2,2001,Simulation,Sammy Corporation,0.11,0.08,0,0.03,0.22,Bit Town,E,59
PS2,2005,Simulation,Ubisoft,0.1,0.08,0,0.03,0.2,Cyberlore Studios,M,59
DS,2008,Role-Playing,Sega,0.1,0.02,0.07,0.01,0.2,"Sega, Tom Create",T,59
XB,2002,Racing,Empire Interactive,0.15,0.04,0,0.01,0.19,Eutechnyx,T,59
PS2,2003,Strategy,Capcom,0.09,0.07,0,0.02,0.19,Cinemaware,T,59
PS3,2008,Adventure,Disney Interactive Studios,0.12,0.04,0,0.02,0.19,Avalanche Software,E10+,59
PS4,2015,Fighting,Namco Bandai Games,0,0.12,0.04,0.02,0.18,Dimps Corporation,T,59
PS2,2003,Racing,Genki,0.09,0.07,0,0.02,0.18,Genki,E,59
Wii,2009,Puzzle,Performance Designed Products,0.17,0,0,0.01,0.18,Performance Designed Products,E10+,59
PS2,2005,Simulation,505 Games,0.05,0.04,0.08,0.01,0.18,From Software,T,59
Wii,2010,Sports,Ubisoft,0.13,0.03,0,0.01,0.18,Ubisoft Montreal,E10+,59
PS4,2015,Sports,Electronic Arts,0.1,0.04,0,0.03,0.18,EA Sports,E,59
GC,2006,Platform,Ubisoft,0.13,0.03,0,0,0.17,Ubisoft,E10+,59
GC,2005,Action,Activision,0.13,0.03,0,0,0.17,Exakt,M,59
DS,2007,Adventure,Konami Digital Entertainment,0.09,0.02,0.06,0.01,0.17,Matrix Software,E10+,59
3DS,2011,Racing,Codemasters,0.07,0.08,0,0.02,0.16,Codemasters,E,59
PS3,N/A,Action,Namco Bandai Games,0.13,0.02,0,0.02,0.16,"Namco Bandai Games America, Namco Bandai Games",M,59
GC,2003,Racing,THQ,0.13,0.03,0,0,0.16,Climax Group,E,59
DS,2011,Misc,THQ,0.12,0.03,0,0.01,0.16,THQ,E,59
XB,2004,Sports,Zoo Digital Publishing,0.12,0.03,0,0.01,0.16,FUN Labs,E,59
X360,2010,Action,Ubisoft Annecy,0.07,0.02,0.06,0.01,0.16,Koei,M,59
GC,2002,Simulation,Titus,0.12,0.03,0,0,0.15,Titus Software,E,59
GC,2003,Shooter,Ubisoft,0.11,0.03,0,0,0.15,Red Storm Entertainment,M,59
XB,2005,Racing,Midway Games,0.11,0.03,0,0.01,0.14,Midway,T,59
3DS,2012,Action,Activision,0.12,0.01,0,0.01,0.14,n-Space,E10+,59
Wii,2007,Action,Activision,0.13,0,0,0.01,0.14,Next Level Games,E10+,59
PS2,2006,Adventure,THQ,0.07,0.05,0,0.02,0.14,Artificial Mind and Movement,E10+,59
Wii,2007,Fighting,Ubisoft,0.07,0,0.06,0.01,0.14,Cavia Inc.,T,59
PS2,2004,Action,Konami Digital Entertainment,0.07,0.05,0,0.02,0.13,Krome Studios,T,59
PS2,2007,Sports,Sony Computer Entertainment,0.06,0.05,0,0.02,0.13,SCEA San Diego Studios,E,59
X360,2011,Action,Warner Bros. Interactive Entertainment,0.07,0.04,0,0.01,0.13,Double Helix Games,T,59
PSP,2010,Action,PQube,0.05,0.01,0.05,0.01,0.12,Acquire,M,59
PS2,2002,Adventure,TDK Mediactive,0.06,0.05,0,0.02,0.12,Digital Illusions,T,59
DS,2008,Sports,Take-Two Interactive,0.11,0,0,0.01,0.12,Deep Fried Entertainment,E,59
X360,2010,Misc,Mindscape,0.1,0.01,0,0.01,0.12,"Mindscape Inc., Mindscape",T,59
DS,2005,Role-Playing,Rising Star Games,0.11,0,0,0.01,0.12,"Game Arts, Japan Art Media (JAM)",E10+,59
DS,2008,Puzzle,Game Factory,0.1,0.01,0,0.01,0.12,Shin'en,E,59
Wii,2008,Sports,Zoo Digital Publishing,0.11,0,0,0.01,0.12,Zeroscale,E,59
GC,2002,Fighting,Acclaim Entertainment,0.09,0.02,0,0,0.12,Acclaim,T,59
XB,2004,Sports,Activision,0.09,0.02,0,0,0.11,Sand Grain Studios,T,59
X360,2006,Platform,Ubisoft,0.1,0,0,0.01,0.11,Ubisoft,E10+,59
PS2,2002,Shooter,Taito,0.05,0.04,0,0.01,0.11,Alfa System,E,59
X360,2008,Action,Vivendi Games,0.09,0.01,0,0.01,0.11,Stormfront Studios,E10+,59
PSP,2006,Action,Vivendi Games,0.1,0,0,0.01,0.11,"Amaze Entertainment, Vivendi Games",T,59
PS2,2002,Racing,Empire Interactive,0.05,0.04,0,0.01,0.11,Razorworks Studios,E,59
PSV,2013,Role-Playing,GungHo,0.05,0,0.04,0.02,0.1,Zerodiv,T,59
PSP,2006,Action,Electronic Arts,0.09,0,0,0.01,0.1,Page 44 Studios,M,59
DS,2006,Misc,Zoo Digital Publishing,0.1,0,0,0.01,0.1,Black Lantern Studios,E,59
PS3,2014,Adventure,Namco Bandai Games,0.05,0.03,0,0.02,0.09,Vicious Cycle,E10+,59
PS2,2003,Fighting,Konami Digital Entertainment,0.05,0.04,0,0.01,0.09,Eighting,M,59
X360,2006,Role-Playing,Idea Factory,0.08,0,0,0.01,0.09,Xpec,T,59
DS,2008,Puzzle,Deep Silver,0.07,0,0,0.01,0.08,InXile Entertainment,E,59
PS2,2003,Platform,SCi,0.04,0.03,0,0.01,0.07,UDS,T,59
XB,2003,Action,Electronic Arts,0.05,0.02,0,0,0.07,Warthog,E,59
X360,2006,Shooter,Eidos Interactive,0.05,0.01,0,0.01,0.07,Traveller's Tales,E10+,59
PS2,2004,Role-Playing,Sony Computer Entertainment,0.03,0.02,0,0.01,0.06,Cattle Call,T,59
DS,2008,Role-Playing,Nobilis,0.06,0,0,0,0.06,Sonic Powered,E,59
PSP,2006,Action,Konami Digital Entertainment,0.05,0,0,0,0.06,BottleRocket Entertainment,E10+,59
PS2,2006,Racing,Namco Bandai Games,0.03,0.02,0,0.01,0.06,Eutechnyx,T,59
GC,2003,Action,Capcom,0.04,0.01,0,0,0.06,Capcom,M,59
PS2,2004,Action,Sega,0.03,0.02,0,0.01,0.06,Adrenium,T,59
GC,2004,Strategy,Sega,0.04,0.01,0,0,0.06,Hitmaker,E,59
DS,2008,Platform,Brash Entertainment,0.05,0,0,0,0.06,"Red Tribe, Brash Entertainment",E,59
PC,2014,Action,Square Enix,0,0.05,0,0,0.05,Airtight Games,M,59
XB,2006,Sports,Midway Games,0.04,0.01,0,0,0.05,Blue Shift,E10+,59
DS,2008,Action,SouthPeak Games,0.05,0,0,0,0.05,Lexis Numerique,E,59
XB,2004,Shooter,Global Star,0.04,0.01,0,0,0.05,Vicious Cycle,T,59
DS,2007,Strategy,LucasArts,0.03,0.01,0,0,0.04,DC Studios,E,59
PS2,2001,Shooter,3DO,0.02,0.02,0,0.01,0.04,3DO,T,59
DS,2009,Action,Atari,0.04,0,0,0,0.04,Razorback Developments,E,59
PS3,2007,Sports,Ubisoft,0.03,0,0,0,0.04,Ubisoft Montreal,E10+,59
PS2,2002,Sports,Konami Digital Entertainment,0.02,0.01,0,0,0.03,Konami,E,59
PS2,2002,Adventure,Capcom,0.02,0.01,0,0,0.03,Arika,E,59
DS,2006,Platform,Game Factory,0.03,0,0,0,0.03,Two Tribes,E,59
PC,1985,Simulation,Activision,0,0.03,0,0.01,0.03,"Viva Media, Viva Media, LLC",T,59
PC,2010,Action,LucasArts,0.03,0,0,0,0.03,LucasArts,T,59
GBA,2003,Platform,Capcom,0.02,0.01,0,0,0.03,Disney Interactive,E,59
PC,2012,Shooter,Bethesda Softworks,0,0.02,0,0,0.03,id Software,M,59
Wii,2007,Racing,Ubisoft,0.01,0.01,0,0,0.03,Reflections Interactive,M,59
PS4,2015,Action,Activision,0,0.02,0,0,0.03,"Activision, Behaviour Interactive",E,59
DS,2006,Strategy,Namco Bandai Games,0.02,0,0,0,0.02,Big Blue Bubble Inc.,E10+,59
PS2,2006,Action,505 Games,0.01,0.01,0,0,0.02,"Punchline, Shirogumi",M,59
PC,2002,Strategy,JoWood Productions,0,0.02,0,0,0.02,JoWooD Entertainment AG,T,59
XB,2004,Action,Sega,0.02,0,0,0,0.02,Amuze,M,59
GC,2003,Racing,Acclaim Entertainment,0.01,0,0,0,0.02,Climax Group,E,59
GC,2002,Sports,Konami Digital Entertainment,0.01,0,0,0,0.02,KCEO,E,59
PSP,2006,Shooter,Funsta,0.02,0,0,0,0.02,Squashy Software,E,59
GBA,2002,Sports,Ubisoft,0.01,0,0,0,0.02,Hokus Pokus,E,59
GC,2004,Action,Sega,0.01,0,0,0,0.02,Adrenium,T,59
PC,N/A,Shooter,Namco Bandai Games,0.01,0,0,0,0.01,Saber Interactive,M,59
PS2,2005,Action,LucasArts,1.47,1.39,0.03,0.43,3.32,Double Helix Games,T,60
PSP,2007,Racing,Sega,0.44,0.67,0,0.37,1.48,Backbone Entertainment,E,60
XOne,2013,Action,Microsoft Game Studios,0.83,0.43,0,0.13,1.38,Crytek,M,60
DS,2009,Action,Activision,1.26,0.02,0,0.1,1.38,Now Production,E,60
DS,2009,Puzzle,505 Games,0.79,0.42,0.01,0.13,1.35,Taito Corporation,E,60
DS,2009,Adventure,Electronic Arts,0.54,0.42,0,0.11,1.07,TOSE,E,60
PS2,2004,Misc,Play It,0.8,0.03,0,0.13,0.95,Coresoft,E,60
X360,2008,Platform,Sega,0.54,0.32,0,0.09,0.95,Sonic Team,E10+,60
Wii,2011,Misc,Nintendo,0.23,0.42,0.18,0.09,0.92,Nintendo,E10+,60
PS3,2007,Shooter,Namco Bandai Games,0.32,0.32,0.05,0.14,0.83,Nex Entertainment,T,60
X360,N/A,Sports,Ubisoft,0.48,0.25,0,0.08,0.81,Ubisoft Montreal,T,60
PS3,2010,Fighting,Namco Bandai Games,0.42,0.18,0.11,0.09,0.81,Spike,T,60
Wii,2009,Action,Electronic Arts,0.28,0.39,0,0.08,0.75,EA Bright Light,E10+,60
Wii,2011,Action,Nintendo,0.26,0.19,0.27,0.04,0.75,Creatures Inc.,E,60
PSP,2007,Shooter,Ubisoft,0.42,0.19,0,0.13,0.74,Ubisoft Montreal,T,60
PSP,2007,Action,D3Publisher,0.23,0.3,0,0.18,0.71,High Voltage Software,E10+,60
PS3,2007,Platform,Activision,0.26,0.29,0.02,0.11,0.67,Treyarch,T,60
PS3,2010,Action,Ubisoft Annecy,0.06,0.03,0.55,0.01,0.66,"Koei, Omega Force",M,60
PS2,2005,Platform,Disney Interactive Studios,0.32,0.25,0,0.08,0.65,Avalanche Software,E10+,60
GBA,2004,Platform,Nintendo,0.25,0.09,0.3,0.01,0.65,Artoon,E,60
DS,2007,Platform,Nintendo,0.28,0.02,0.33,0.03,0.65,Suzak,E10+,60
PS2,2004,Platform,Vivendi Games,0.32,0.25,0,0.08,0.64,Eurocom Entertainment Software,E,60
PS2,2004,Shooter,Electronic Arts,0.54,0.02,0,0.09,0.64,EA LA,T,60
PS3,2010,Role-Playing,Sony Computer Entertainment,0.23,0.09,0.27,0.04,0.63,Level 5,T,60
XOne,2014,Sports,Microsoft Game Studios,0.3,0.23,0.02,0.05,0.6,Microsoft Game Studios,E10+,60
PS4,2014,Sports,Electronic Arts,0.31,0.19,0,0.1,0.6,EA Sports,E10+,60
DS,2004,Racing,Ubisoft,0.31,0.22,0,0.06,0.59,Gameloft,E,60
GBA,2004,Action,Vivendi Games,0.41,0.15,0,0.01,0.57,Vicarious Visions,E,60
X360,2013,Shooter,Trion Worlds,0.38,0.14,0,0.05,0.57,Trion Worlds,M,60
DS,2010,Action,Activision,0.31,0.17,0,0.05,0.53,Griptonite Games,E10+,60
GC,2006,Adventure,THQ,0.39,0.1,0,0.01,0.5,AWE Games,E10+,60
PS3,2007,Action,Tecmo Koei,0.14,0.01,0.31,0.02,0.47,"Koei, Omega Force",T,60
X360,2008,Platform,Vivendi Games,0.22,0.2,0,0.05,0.47,Radical Entertainment,E10+,60
Wii,2007,Platform,THQ,0.4,0,0,0.03,0.43,Blue Tongue Entertainment,E,60
GBA,2004,Action,Ubisoft,0.3,0.11,0,0.01,0.42,Ubisoft,E,60
PSV,2012,Shooter,Sony Computer Entertainment,0.18,0.15,0.02,0.06,0.41,Nihilistic,M,60
PS2,N/A,Sports,Unknown,0.2,0.15,0,0.05,0.4,989 Sports,E,60
PS2,2005,Misc,THQ,0.19,0.15,0,0.05,0.38,Blitz Games,E,60
PS2,2003,Strategy,Atari,0.19,0.15,0,0.05,0.38,Cyberlore Studios,T,60
GC,2004,Shooter,Electronic Arts,0.28,0.07,0,0.01,0.36,EA LA,T,60
PS2,2005,Action,THQ,0.18,0.14,0,0.05,0.36,Heavy Iron Studios,E10+,60
Wii,2007,Action,Ubisoft,0.3,0.03,0,0.03,0.36,Ubisoft Montreal,E10+,60
PS3,2008,Shooter,Activision,0.23,0.07,0,0.04,0.35,"Z-Axis, Ltd.",T,60
PS2,2004,Adventure,Vivendi Games,0.17,0.13,0,0.04,0.34,High Voltage Software,M,60
PS3,2010,Shooter,Sony Computer Entertainment,0.13,0.15,0.01,0.05,0.34,Cohort Studios,T,60
PS3,2010,Sports,Activision,0.26,0.04,0,0.03,0.33,Activision,T,60
DS,2007,Sports,Electronic Arts,0.29,0.01,0,0.03,0.33,Piranha Games,E,60
GBA,2002,Misc,Atari,0.23,0.08,0,0.01,0.32,CodeFire,E,60
DS,2009,Puzzle,Rondomedia,0.13,0.15,0,0.03,0.31,MumboJumbo,E,60
X360,2007,Action,Tecmo Koei,0.15,0.06,0.06,0.02,0.3,Omega Force,T,60
X360,2007,Action,Activision,0.26,0.01,0,0.02,0.29,Next Level Games,E10+,60
Wii,2010,Sports,Namco Bandai Games,0.1,0.16,0,0.03,0.29,Namco Bandai Games,E,60
DS,2008,Strategy,THQ,0.24,0.03,0,0.02,0.29,Altron,E,60
PS4,2015,Action,Activision,0.14,0.11,0,0.05,0.29,High Moon Studios,M,60
PS2,2007,Sports,Ubisoft,0.14,0.11,0,0.04,0.29,Ubisoft Montreal,E10+,60
PS3,2010,Shooter,Namco Bandai Games,0.1,0.12,0.02,0.05,0.28,Volatile Games,M,60
XB,2005,Action,Activision,0.21,0.06,0,0.01,0.28,Exakt,M,60
WiiU,2012,Misc,Nintendo,0.13,0.12,0,0.02,0.27,FreeStyleGames,E10+,60
XOne,2015,Action,Electronic Arts,0.16,0.09,0,0.02,0.27,EA Tiburon,E,60
PS3,2008,Misc,MTV Games,0.21,0.01,0,0.02,0.24,Harmonix Music Systems,T,60
X360,2009,Action,Activision,0.2,0.02,0,0.02,0.24,Now Production,E,60
XB,2004,Shooter,SCi,0.17,0.05,0,0.01,0.22,Pivotal Games,M,60
